original_title,genre_ids,popularity,vote_average,vote_count,year
Banana,"[16, 35, 10751]",7.118,7.1,178,2010
Lying to Be Perfect,[35],7.108,6.1,85,2010
Nowhere Boy,[18],7.099,7.3,469,2010
Red White & Blue,"[18, 53]",7.09,6.2,64,2010
The Killer Inside Me,"[80, 18, 53]",7.087,5.9,304,2010
Dellamorte Dellamore,"[14, 18, 27, 35]",7.078,7.1,192,1996
Scooby-Doo! Camp Scare,"[16, 35, 10751]",7.048,7.2,52,2010
Just Wright,"[35, 18, 10749]",7.047,6.2,211,2010
LEGO: The Adventures of Clutch Powers,"[28, 12, 16, 10751]",7.039,5.5,41,2010
Rien à déclarer,[35],6.978,5.8,602,2010
Harriet the Spy: Blog Wars,"[35, 18, 10751, 10770]",6.896,4.7,127,2010
Temple Grandin,[18],6.875,7.8,173,2010
Red Riding: In the Year of Our Lord 1974,"[53, 9648, 80, 18]",6.871,6.8,99,2010
Across the Line: The Exodus of Charlie Wright,"[18, 28, 53, 80]",6.863,5.9,19,2010
Death at a Funeral,[35],6.862,5.7,439,2010
The Rig,"[28, 27, 878, 53]",6.856,3.7,39,2010
Shanghai,"[18, 9648, 10749]",6.824,6.1,80,2010
Space Chimps 2: Zartog Strikes Back,"[16, 10751]",6.792,4.6,50,2010
How Do You Know,"[35, 18, 10749]",6.753,5.1,453,2010
孔子,"[18, 36]",6.706,5.9,45,2010
Triassic Attack,"[27, 878, 10770]",6.706,3.2,22,2010
Tiny Furniture,"[10749, 35, 18]",6.695,5.9,82,2010
Stomp the Yard 2: Homecoming,"[18, 10402]",6.684,4.7,48,2010
Scared Shrekless,"[16, 35]",6.682,6.2,177,2010
О чём говорят мужчины,[35],6.675,7.7,71,2010
Happythankyoumoreplease,"[35, 10749, 18]",6.645,6.5,148,2010
Why Did I Get Married Too?,"[35, 10749]",6.636,5.9,49,2010
YellowBrickRoad,"[27, 53]",6.635,4.9,75,2010
Dinner for Schmucks,[35],6.632,5.6,920,2010
Sundays at Tiffany's,"[18, 10749]",6.629,6.5,43,2010
And Soon the Darkness,"[27, 53, 80, 9648]",6.606,5.2,197,2010
Firebreather,"[12, 14, 16, 28, 53, 878, 10751]",6.591,6.2,33,2010
Crazy on the Outside,"[35, 10749]",6.579,5.4,48,2010
Carlos,"[80, 18, 53, 36]",6.568,7.0,87,2010
Free Willy: Escape from Pirate's Cove,"[18, 10751, 12]",6.568,5.2,61,2010
Cosa voglio di più,"[35, 18, 10749]",6.53,5.6,49,2010
The Prince & Me 4: The Elephant Adventure,"[35, 10749]",6.523,5.5,37,2010
